200,93
201,2
202,34
203,82
204,24
205,25
206,100
207,38
208,60
209,95
210,82
211,58
212,97
213,58
214,33
215,0
216,46
217,87
218,66
219,42
220,10
221,52
222,2
223,20
224,29
225,79
226,17
227,40
228,83
229,85
230,18
231,80
232,39
233,40
234,30
235,25
236,7
237,89
238,38
239,30
240,70
241,8
242,72
243,70
244,33
245,17
246,6
247,33
248,4
249,90
250,42
251,94
252,54
253,5
254,42
255,28
256,5
257,73
258,71
259,41
260,4
261,34
262,27
263,65
264,42
265,44
266,18
267,31
268,38
269,15
270,52
271,35
272,22
273,77
274,54
275,46
276,41
277,0
278,25
279,79
280,0
281,21
282,10
283,25
284,43
285,67
286,23
