500,75
501,37
502,33
503,74
504,32
505,28
506,56
507,6
508,3
509,95
510,-1
511,24
512,66
513,85
514,59
515,60
516,38
517,43
518,69
519,29
520,69
521,70
522,6
523,14
524,38
525,47
526,42
527,17
528,66
529,2
530,37
531,0
532,75
533,72
534,91
535,88
536,100
537,75
538,31
539,64
540,66
541,68
542,100
543,21
544,71
545,30
546,29
547,95
548,75
549,41
550,34
551,59
552,11
553,26
554,21
555,79
556,2
557,93
558,46
559,86
560,66
561,90
562,51
563,87
564,7
565,4
566,32
567,60
568,16
569,42
570,41
571,82
572,54
573,13
574,30
575,97
576,4
577,57
578,31
579,41
580,48
581,76
582,66
583,90
584,29
585,49
586,25
587,55
588,41
