100,59
101,28
102,51
103,22
104,85
105,63
106,85
107,31
108,69
109,2
110,32
111,55
112,56
113,28
114,1
115,97
116,7
117,44
118,52
119,98
120,34
121,89
122,35
123,91
124,70
125,51
126,75
127,48
128,79
129,34
130,68
131,32
132,91
133,91
134,93
135,37
136,9
137,57
138,82
139,40
140,67
141,68
142,24
143,68
144,65
145,16
146,1
147,86
148,79
149,81
150,98
151,82
152,70
153,36
154,66
155,16
156,31
157,36
158,47
159,15
160,70
161,47
162,19
163,92
164,87
165,43
166,71
167,38
168,65
169,90
170,48
171,46
172,8
173,85
174,46
175,52
176,95
177,77
178,13
179,94
180,15
181,30
182,72
183,64
184,100
185,7
