200,2
201,63
202,-1
203,62
204,25
205,44
206,76
207,80
208,93
209,5
210,29
211,25
212,90
213,35
214,100
215,82
216,99
217,100
218,92
219,11
220,80
221,97
222,63
223,58
224,43
225,65
226,92
227,30
228,18
229,88
230,60
231,85
232,28
233,74
234,14
235,23
236,100
237,80
238,56
239,40
240,76
241,7
242,73
243,46
244,67
245,38
246,33
247,43
248,64
249,87
250,43
251,78
252,50
253,55
254,100
255,6
256,12
257,41
258,55
259,48
260,77
261,22
262,48
263,56
264,92
265,12
266,90
267,58
268,93
269,63
270,65
271,74
272,69
273,0
274,29
275,1
276,20
277,62
278,16
279,50
280,96
281,82
282,12
283,34
284,21
285,8
286,66
