500,6
501,66
502,76
503,67
504,89
505,79
506,65
507,82
508,13
509,84
510,95
511,89
512,71
513,8
514,41
515,10
516,56
517,44
518,0
519,15
520,49
521,50
522,67
523,30
524,61
525,41
526,60
527,1
528,59
529,45
530,86
531,94
532,61
533,69
534,6
535,63
536,35
537,91
538,77
539,75
540,40
541,2
542,45
543,47
544,63
545,45
546,-1
547,47
548,33
549,-1
550,8
551,94
552,6
553,55
554,59
555,5
556,44
557,35
558,68
559,41
560,18
561,-1
562,24
563,4
564,61
565,27
566,18
567,55
568,44
569,43
570,62
571,18
572,13
573,12
574,86
575,10
576,71
577,30
578,92
579,9
580,55
581,99
582,16
583,82
584,79
585,48
586,46
587,22
588,100
