ID: 428, Punctaj: 755
ID: 117, Punctaj: 729
ID: 584, Punctaj: 723
ID: 509, Punctaj: 721
ID: 558, Punctaj: 706
ID: 413, Punctaj: 702
ID: 211, Punctaj: 697
ID: 212, Punctaj: 693
ID: 581, Punctaj: 682
ID: 173, Punctaj: 678
ID: 104, Punctaj: 677
ID: 222, Punctaj: 677
ID: 451, Punctaj: 672
ID: 217, Punctaj: 671
ID: 130, Punctaj: 667
ID: 557, Punctaj: 666
ID: 533, Punctaj: 665
ID: 167, Punctaj: 656
ID: 408, Punctaj: 656
ID: 414, Punctaj: 652
ID: 433, Punctaj: 651
ID: 588, Punctaj: 648
ID: 136, Punctaj: 646
ID: 424, Punctaj: 645
ID: 231, Punctaj: 642
ID: 218, Punctaj: 640
ID: 352, Punctaj: 639
ID: 370, Punctaj: 639
ID: 406, Punctaj: 635
ID: 209, Punctaj: 634
ID: 121, Punctaj: 631
ID: 279, Punctaj: 631
ID: 394, Punctaj: 631
ID: 362, Punctaj: 630
ID: 126, Punctaj: 628
ID: 229, Punctaj: 628
ID: 316, Punctaj: 627
ID: 436, Punctaj: 627
ID: 132, Punctaj: 626
ID: 237, Punctaj: 625
ID: 221, Punctaj: 624
ID: 410, Punctaj: 624
ID: 507, Punctaj: 622
ID: 503, Punctaj: 621
ID: 393, Punctaj: 620
ID: 463, Punctaj: 620
ID: 119, Punctaj: 619
ID: 225, Punctaj: 619
ID: 252, Punctaj: 616
ID: 333, Punctaj: 616
ID: 181, Punctaj: 615
ID: 512, Punctaj: 615
ID: 446, Punctaj: 614
ID: 210, Punctaj: 612
ID: 539, Punctaj: 612
ID: 158, Punctaj: 611
ID: 249, Punctaj: 609
ID: 278, Punctaj: 609
ID: 523, Punctaj: 609
ID: 560, Punctaj: 609
ID: 272, Punctaj: 608
ID: 309, Punctaj: 607
ID: 504, Punctaj: 607
ID: 205, Punctaj: 601
ID: 474, Punctaj: 601
ID: 161, Punctaj: 598
ID: 360, Punctaj: 597
ID: 258, Punctaj: 596
ID: 537, Punctaj: 596
ID: 254, Punctaj: 595
ID: 264, Punctaj: 595
ID: 389, Punctaj: 595
ID: 470, Punctaj: 595
ID: 206, Punctaj: 594
ID: 374, Punctaj: 591
ID: 577, Punctaj: 591
ID: 351, Punctaj: 590
ID: 108, Punctaj: 589
ID: 372, Punctaj: 589
ID: 128, Punctaj: 588
ID: 323, Punctaj: 585
ID: 525, Punctaj: 585
ID: 559, Punctaj: 584
ID: 576, Punctaj: 583
ID: 535, Punctaj: 582
ID: 208, Punctaj: 581
ID: 482, Punctaj: 581
ID: 238, Punctaj: 578
ID: 468, Punctaj: 577
ID: 456, Punctaj: 576
ID: 520, Punctaj: 573
ID: 431, Punctaj: 572
ID: 283, Punctaj: 571
ID: 544, Punctaj: 571
ID: 304, Punctaj: 570
ID: 536, Punctaj: 570
ID: 430, Punctaj: 568
ID: 555, Punctaj: 568
ID: 357, Punctaj: 567
ID: 143, Punctaj: 566
ID: 317, Punctaj: 566
ID: 219, Punctaj: 564
ID: 481, Punctaj: 563
ID: 162, Punctaj: 560
ID: 543, Punctaj: 560
ID: 150, Punctaj: 559
ID: 391, Punctaj: 559
ID: 303, Punctaj: 558
ID: 547, Punctaj: 558
ID: 305, Punctaj: 557
ID: 315, Punctaj: 557
ID: 152, Punctaj: 556
ID: 550, Punctaj: 556
ID: 417, Punctaj: 555
ID: 353, Punctaj: 554
ID: 267, Punctaj: 553
ID: 157, Punctaj: 552
ID: 306, Punctaj: 552
ID: 437, Punctaj: 550
ID: 412, Punctaj: 549
ID: 331, Punctaj: 547
ID: ﻿100, Punctaj: 545
ID: 524, Punctaj: 544
ID: 541, Punctaj: 544
ID: 120, Punctaj: 543
ID: 216, Punctaj: 543
ID: ﻿300, Punctaj: 543
ID: 585, Punctaj: 543
ID: 131, Punctaj: 542
ID: 149, Punctaj: 542
ID: 176, Punctaj: 542
ID: 365, Punctaj: 542
ID: 578, Punctaj: 542
ID: 103, Punctaj: 541
ID: 178, Punctaj: 541
ID: 179, Punctaj: 541
ID: 259, Punctaj: 541
ID: 269, Punctaj: 540
ID: 324, Punctaj: 540
ID: 106, Punctaj: 539
ID: 380, Punctaj: 539
ID: 402, Punctaj: 539
ID: 101, Punctaj: 538
ID: 204, Punctaj: 538
ID: 531, Punctaj: 537
ID: 455, Punctaj: 536
ID: 538, Punctaj: 536
ID: 147, Punctaj: 535
